Date,Goal,Funds
2025-09-06 03:01:00-05:00,7000,1364
2025-09-06 04:01:00-05:00,7000,1364
2025-09-06 05:01:00-05:00,7000,1424
2025-09-06 06:01:00-05:00,7000,1424
2025-09-06 07:01:00-05:00,7000,1424
2025-09-06 08:01:00-05:00,7000,1424
2025-09-06 09:01:00-05:00,7000,1424
2025-09-06 10:01:00-05:00,7000,1424
2025-09-06 11:01:00-05:00,7000,1429
2025-09-06 12:01:00-05:00,7000,1429
2025-09-06 13:01:00-05:00,7000,1454
2025-09-06 14:01:00-05:00,7000,1454
2025-09-06 15:01:00-05:00,7000,1454
2025-09-06 16:01:00-05:00,7000,1454
2025-09-06 17:01:00-05:00,7000,1454
2025-09-06 18:01:00-05:00,7000,1454
2025-09-06 19:01:00-05:00,7000,1454
2025-09-06 20:01:00-05:00,7000,1454
2025-09-06 21:01:00-05:00,7000,1454
2025-09-06 22:01:00-05:00,7000,1454
2025-09-06 23:01:00-05:00,7000,1459
2025-09-07 00:01:00-05:00,7000,1464
2025-09-07 01:01:00-05:00,7000,1464
2025-09-07 02:01:00-05:00,7000,1464
2025-09-07 03:01:00-05:00,7000,1464
2025-09-07 04:01:00-05:00,7000,1520
2025-09-07 05:01:00-05:00,7000,1529
2025-09-07 06:01:00-05:00,7000,1534
2025-09-07 07:01:00-05:00,7000,1534
2025-09-07 08:01:00-05:00,7000,1534
2025-09-07 09:01:00-05:00,7000,1534
2025-09-07 10:01:00-05:00,7000,1534
2025-09-07 11:01:00-05:00,7000,1534
2025-09-07 12:01:00-05:00,7000,1534
2025-09-07 13:01:00-05:00,7000,1534
2025-09-07 14:01:00-05:00,7000,1534
2025-09-07 15:01:00-05:00,7000,1534
2025-09-07 16:01:00-05:00,7000,1534
2025-09-07 17:01:00-05:00,7000,1539
2025-09-07 18:01:00-05:00,7000,1539
2025-09-07 19:01:00-05:00,7000,1539
2025-09-07 20:01:00-05:00,7000,1544
2025-09-07 21:01:00-05:00,7000,1549
2025-09-07 22:01:00-05:00,7000,1549
2025-09-07 23:01:00-05:00,7000,1554
2025-09-08 00:01:00-05:00,7000,1554
2025-09-08 01:01:00-05:00,7000,1559
2025-09-08 02:01:00-05:00,7000,1559
2025-09-08 03:01:00-05:00,7000,1559
2025-09-08 04:01:00-05:00,7000,1567
2025-09-08 05:01:00-05:00,7000,1572
2025-09-08 06:01:00-05:00,7000,1572
2025-09-08 07:01:00-05:00,7000,1572
2025-09-08 08:01:00-05:00,7000,1572
2025-09-08 09:01:00-05:00,7000,1577
2025-09-08 10:01:00-05:00,7000,1577
2025-09-08 11:01:00-05:00,7000,1577
2025-09-08 12:01:00-05:00,7000,1577
2025-09-08 13:01:00-05:00,7000,1577
2025-09-08 14:01:00-05:00,7000,1587
2025-09-08 15:01:00-05:00,7000,1587
2025-09-08 16:01:00-05:00,7000,1592
2025-09-08 17:01:00-05:00,7000,1592
2025-09-08 18:01:00-05:00,7000,1592
2025-09-08 19:01:00-05:00,7000,1592
2025-09-08 20:01:00-05:00,7000,1597
2025-09-08 21:01:00-05:00,7000,1602
2025-09-08 22:01:00-05:00,7000,1607
2025-09-08 23:01:00-05:00,7000,1607
2025-09-09 00:01:00-05:00,7000,1607
2025-09-09 01:01:00-05:00,7000,1607
2025-09-09 02:01:00-05:00,7000,1607
2025-09-09 03:01:00-05:00,7000,1607
2025-09-09 04:01:00-05:00,7000,1625
2025-09-09 05:01:00-05:00,7000,1661
2025-09-09 06:01:00-05:00,7000,1661
2025-09-09 07:01:00-05:00,7000,1661
2025-09-09 08:01:00-05:00,7000,1661
2025-09-09 09:01:00-05:00,7000,1666
2025-09-09 10:01:00-05:00,7000,1666
2025-09-09 11:01:00-05:00,7000,1666
2025-09-09 12:01:00-05:00,7000,1666
2025-09-09 13:01:00-05:00,7000,1666
2025-09-09 14:01:00-05:00,7000,1666
2025-09-09 15:01:00-05:00,7000,1666
2025-09-09 16:01:00-05:00,7000,1666
2025-09-09 17:01:00-05:00,7000,1666
2025-09-09 18:01:00-05:00,7000,1666
2025-09-09 19:01:00-05:00,7000,1666
2025-09-09 20:01:00-05:00,7000,1666
2025-09-09 21:01:00-05:00,7000,1666
2025-09-09 22:01:00-05:00,7000,1666
2025-09-09 23:01:00-05:00,7000,1666
2025-09-10 00:01:00-05:00,7000,1666
2025-09-10 01:01:00-05:00,7000,1666
2025-09-10 02:01:00-05:00,7000,1666
2025-09-10 03:01:00-05:00,7000,1666
2025-09-10 04:01:00-05:00,7000,1668
2025-09-10 05:01:00-05:00,7000,1712
2025-09-10 06:01:00-05:00,7000,1712
2025-09-10 07:01:00-05:00,7000,1712
2025-09-10 08:01:00-05:00,7000,1712
2025-09-10 09:01:00-05:00,7000,1712
2025-09-10 10:01:00-05:00,7000,1782
2025-09-10 11:01:00-05:00,7000,1787
2025-09-10 12:01:00-05:00,7000,1787
2025-09-10 13:01:00-05:00,7000,1787
2025-09-10 14:01:00-05:00,7000,1787
2025-09-10 15:01:00-05:00,7000,1792
2025-09-10 16:01:00-05:00,7000,1792
2025-09-10 17:01:00-05:00,7000,1958
2025-09-10 18:01:00-05:00,7000,1958
2025-09-10 19:01:00-05:00,7000,1963
2025-09-10 20:01:00-05:00,7000,1963
2025-09-10 21:01:00-05:00,7000,1963
2025-09-10 22:01:00-05:00,7000,1963
2025-09-10 23:01:00-05:00,7000,1963
2025-09-11 00:01:00-05:00,7000,1963
2025-09-11 01:01:00-05:00,7000,1963
2025-09-11 02:01:00-05:00,7000,1963
2025-09-11 03:01:00-05:00,7000,1963
2025-09-11 04:01:00-05:00,7000,2003
2025-09-11 05:01:00-05:00,7000,2064
2025-09-11 06:01:00-05:00,7000,2069
2025-09-11 07:01:00-05:00,7000,2069
2025-09-11 08:01:00-05:00,7000,2069
2025-09-11 09:01:00-05:00,7000,2069
2025-09-11 10:01:00-05:00,7000,2069
2025-09-11 11:01:00-05:00,7000,2069
2025-09-11 12:01:00-05:00,7000,2074
2025-09-11 13:01:00-05:00,7000,2074
2025-09-11 14:01:00-05:00,7000,2074
2025-09-11 15:01:00-05:00,7000,2079
2025-09-11 16:01:00-05:00,7000,2079
2025-09-11 17:01:00-05:00,7000,2079
2025-09-11 18:01:00-05:00,7000,2089
2025-09-11 19:01:00-05:00,7000,2089
2025-09-11 20:01:00-05:00,7000,2089
2025-09-11 21:01:00-05:00,7000,2089
2025-09-11 22:01:00-05:00,7000,2089
2025-09-11 23:01:00-05:00,7000,2089
2025-09-12 00:01:00-05:00,7000,2089
2025-09-12 01:01:00-05:00,7000,2094
2025-09-12 02:01:00-05:00,7000,2104
2025-09-12 03:01:00-05:00,7000,2104
2025-09-12 04:01:00-05:00,7000,2123
2025-09-12 05:01:00-05:00,7000,2139
2025-09-12 06:01:00-05:00,7000,2139
2025-09-12 07:01:00-05:00,7000,2139
2025-09-12 08:01:00-05:00,7000,2139
2025-09-12 09:01:00-05:00,7000,2170
2025-09-12 10:01:00-05:00,7000,2170
2025-09-12 11:01:00-05:00,7000,2170
2025-09-12 12:01:00-05:00,7000,2170
2025-09-12 13:01:00-05:00,7000,2175
2025-09-12 14:01:00-05:00,7000,2180
2025-09-12 15:01:00-05:00,7000,2180
2025-09-12 16:01:00-05:00,7000,2180
2025-09-12 17:01:00-05:00,7000,2185
2025-09-12 18:01:00-05:00,7000,2185
2025-09-12 19:01:00-05:00,7000,2185
2025-09-12 20:01:00-05:00,7000,2185
2025-09-12 21:01:00-05:00,7000,2190
2025-09-12 22:01:00-05:00,7000,2190
2025-09-12 23:01:00-05:00,7000,2190
2025-09-13 00:01:00-05:00,7000,2190
2025-09-13 01:01:00-05:00,7000,2190
2025-09-13 02:01:00-05:00,7000,2190
2025-09-13 03:01:00-05:00,7000,2195
2025-09-13 04:01:00-05:00,7000,2360
2025-09-13 05:01:00-05:00,7000,2385
2025-09-13 06:01:00-05:00,7000,2385
2025-09-13 07:01:00-05:00,7000,2385
2025-09-13 08:01:00-05:00,7000,2385
2025-09-13 09:01:00-05:00,7000,2385
2025-09-13 10:01:00-05:00,7000,2390
2025-09-13 11:01:00-05:00,7000,2390
2025-09-13 12:01:00-05:00,7000,2390
2025-09-13 13:01:00-05:00,7000,2390
2025-09-13 14:01:00-05:00,7000,2390
2025-09-13 15:01:00-05:00,7000,2405
2025-09-13 16:01:00-05:00,7000,2405
2025-09-13 17:01:00-05:00,7000,2405
2025-09-13 18:01:00-05:00,7000,2405
2025-09-13 19:01:00-05:00,7000,2405
2025-09-13 20:01:00-05:00,7000,2405
2025-09-13 21:01:00-05:00,7000,2405
2025-09-13 22:01:00-05:00,7000,2415
2025-09-13 23:01:00-05:00,7000,2415
2025-09-14 00:01:00-05:00,7000,2415
2025-09-14 01:01:00-05:00,7000,2415
2025-09-14 02:01:00-05:00,7000,2415
2025-09-14 03:01:00-05:00,7000,2415
2025-09-14 04:01:00-05:00,7000,2461
2025-09-14 05:01:00-05:00,7000,2572
2025-09-14 06:01:00-05:00,7000,2572
2025-09-14 07:01:00-05:00,7000,2572
2025-09-14 08:01:00-05:00,7000,2572
2025-09-14 09:01:00-05:00,7000,2572
2025-09-14 10:01:00-05:00,7000,2572
2025-09-14 11:01:00-05:00,7000,2572
2025-09-14 12:01:00-05:00,7000,2572
2025-09-14 13:01:00-05:00,7000,2572
2025-09-14 14:01:00-05:00,7000,2577
2025-09-14 15:01:00-05:00,7000,2577
2025-09-14 16:01:00-05:00,7000,2582
2025-09-14 17:01:00-05:00,7000,2582
2025-09-14 18:01:00-05:00,7000,2582
2025-09-14 19:01:00-05:00,7000,2582
2025-09-14 20:01:00-05:00,7000,2582
2025-09-14 21:01:00-05:00,7000,2582
2025-09-14 22:01:00-05:00,7000,2582
2025-09-14 23:01:00-05:00,7000,2582
2025-09-15 00:01:00-05:00,7000,2582
2025-09-15 01:01:00-05:00,7000,2582
2025-09-15 02:01:00-05:00,7000,2592
2025-09-15 03:01:00-05:00,7000,2594
2025-09-15 04:01:00-05:00,7000,2594
2025-09-15 05:01:00-05:00,7000,2649
2025-09-15 06:01:00-05:00,7000,2681
2025-09-15 07:01:00-05:00,7000,2681
2025-09-15 08:01:00-05:00,7000,2681
2025-09-15 09:01:00-05:00,7000,2681
2025-09-15 10:01:00-05:00,7000,2681
2025-09-15 11:01:00-05:00,7000,2681
2025-09-15 12:01:00-05:00,7000,2681
2025-09-15 13:01:00-05:00,7000,2681
2025-09-15 14:01:00-05:00,7000,2681
2025-09-15 15:01:00-05:00,7000,2686
2025-09-15 16:01:00-05:00,7000,2686
2025-09-15 17:01:00-05:00,7000,2691
2025-09-15 18:01:00-05:00,7000,2691
2025-09-15 19:01:00-05:00,7000,2691
2025-09-15 20:01:00-05:00,7000,2761
2025-09-15 21:01:00-05:00,7000,2761
2025-09-15 22:01:00-05:00,7000,2761
2025-09-15 23:01:00-05:00,7000,2766
2025-09-16 00:01:00-05:00,7000,2766
2025-09-16 01:01:00-05:00,7000,2766
2025-09-16 02:01:00-05:00,7000,2766
2025-09-16 03:01:00-05:00,7000,2766
2025-09-16 04:01:00-05:00,7000,2766
2025-09-16 05:01:00-05:00,7000,2828
2025-09-16 06:01:00-05:00,7000,2828
2025-09-16 07:01:00-05:00,7000,2828
2025-09-16 08:01:00-05:00,7000,2828
2025-09-16 09:01:00-05:00,7000,2828
2025-09-16 10:01:00-05:00,7000,2833
2025-09-16 11:01:00-05:00,7000,2833
2025-09-16 12:01:00-05:00,7000,2833
2025-09-16 13:01:00-05:00,7000,2833
2025-09-16 14:01:00-05:00,7000,2833
2025-09-16 15:01:00-05:00,7000,2833
2025-09-16 16:01:00-05:00,7000,2833
2025-09-16 17:01:00-05:00,7000,2838
2025-09-16 18:01:00-05:00,7000,2838
2025-09-16 19:01:00-05:00,7000,2843
2025-09-16 20:01:00-05:00,7000,2843
2025-09-16 21:01:00-05:00,7000,2843
2025-09-16 22:01:00-05:00,7000,2843
2025-09-16 23:01:00-05:00,7000,2843
2025-09-17 00:01:00-05:00,7000,2843
2025-09-17 01:01:00-05:00,7000,2843
2025-09-17 02:01:00-05:00,7000,2868
2025-09-17 04:01:00-05:00,7000,2930
2025-09-17 05:01:00-05:00,7000,2976
2025-09-17 06:01:00-05:00,7000,2976
2025-09-17 07:01:00-05:00,7000,2981
2025-09-17 08:01:00-05:00,7000,2981
2025-09-17 09:01:00-05:00,7000,2981
2025-09-17 10:01:00-05:00,7000,2981
2025-09-17 11:01:00-05:00,7000,2986
2025-09-17 12:01:00-05:00,7000,2986
2025-09-17 13:01:00-05:00,7000,2986
2025-09-17 14:01:00-05:00,7000,2986
2025-09-17 15:01:00-05:00,7000,3016
2025-09-17 16:01:00-05:00,7000,3086
2025-09-17 17:01:00-05:00,7000,3097
2025-09-17 18:01:00-05:00,7000,3097
2025-09-17 19:01:00-05:00,7000,3097
2025-09-17 20:01:00-05:00,7000,3092
2025-09-17 21:01:00-05:00,7000,3092
2025-09-17 22:01:00-05:00,7000,3092
2025-09-17 23:01:00-05:00,7000,3092
2025-09-18 00:01:00-05:00,7000,3092
2025-09-18 01:01:00-05:00,7000,3092
2025-09-18 02:01:00-05:00,7000,3097
2025-09-18 03:01:00-05:00,7000,3097
2025-09-18 04:01:00-05:00,7000,3160
2025-09-18 05:01:00-05:00,7000,3196
2025-09-18 06:01:00-05:00,7000,3196
2025-09-18 07:01:00-05:00,7000,3196
2025-09-18 08:01:00-05:00,7000,3196
2025-09-18 09:01:00-05:00,7000,3196
2025-09-18 10:01:00-05:00,7000,3201
2025-09-18 11:01:00-05:00,7000,3201
2025-09-18 12:01:00-05:00,7000,3201
2025-09-18 13:01:00-05:00,7000,3201
2025-09-18 14:01:00-05:00,7000,3206
2025-09-18 15:01:00-05:00,7000,3206
2025-09-18 16:01:00-05:00,7000,3231
2025-09-18 17:01:00-05:00,7000,3231
2025-09-18 18:01:00-05:00,7000,3231
2025-09-18 19:01:00-05:00,7000,3231
2025-09-18 20:01:00-05:00,7000,3231
2025-09-18 21:01:00-05:00,7000,3241
2025-09-18 22:01:00-05:00,7000,3241
2025-09-18 23:01:00-05:00,7000,3241
2025-09-19 00:01:00-05:00,7000,3241
2025-09-19 01:01:00-05:00,7000,3241
2025-09-19 02:01:00-05:00,7000,3241
2025-09-19 03:01:00-05:00,7000,3241
2025-09-19 04:01:00-05:00,7000,3360
2025-09-19 05:01:00-05:00,7000,3376
2025-09-19 06:01:00-05:00,7000,3376
2025-09-19 07:01:00-05:00,7000,3381
2025-09-19 08:01:00-05:00,7000,3406
2025-09-19 09:01:00-05:00,7000,3437
2025-09-19 10:01:00-05:00,7000,3442
2025-09-19 11:01:00-05:00,7000,3442
2025-09-19 12:01:00-05:00,7000,3442
2025-09-19 13:01:00-05:00,7000,3442
2025-09-19 14:01:00-05:00,7000,3542
2025-09-19 15:01:00-05:00,7000,3542
2025-09-19 16:01:00-05:00,7000,3542
2025-09-19 17:01:00-05:00,7000,3542
2025-09-19 18:01:00-05:00,7000,3542
2025-09-19 19:01:00-05:00,7000,3542
2025-09-19 20:01:00-05:00,7000,3742
2025-09-19 21:01:00-05:00,7000,3752
2025-09-19 22:01:00-05:00,7000,3762
2025-09-19 23:01:00-05:00,7000,3772
2025-09-20 00:01:00-05:00,7000,3927
2025-09-20 01:01:00-05:00,7000,3927
2025-09-20 02:01:00-05:00,7000,3937
2025-09-20 03:01:00-05:00,7000,3937
2025-09-20 04:01:00-05:00,7000,3953
2025-09-20 05:01:00-05:00,7000,4065
2025-09-20 06:01:00-05:00,7000,4125
2025-09-20 07:01:00-05:00,7000,4130
2025-09-20 08:01:00-05:00,7000,4140
2025-09-20 09:01:00-05:00,7000,4145
2025-09-20 10:01:00-05:00,7000,4155
2025-09-20 11:01:00-05:00,7000,4160
2025-09-20 12:01:00-05:00,7000,4160
2025-09-20 13:01:00-05:00,7000,4170
2025-09-20 14:01:00-05:00,7000,4195
2025-09-20 15:01:00-05:00,7000,4207
2025-09-20 16:01:00-05:00,7000,4207
2025-09-20 22:01:00-05:00,7000,4227
2025-09-20 23:01:00-05:00,7000,4229
2025-09-21 00:01:00-05:00,7000,4229
2025-09-21 01:01:00-05:00,7000,4229
2025-09-21 02:01:00-05:00,7000,4229
2025-09-21 03:01:00-05:00,7000,4229
2025-09-21 04:01:00-05:00,7000,4253
2025-09-21 05:01:00-05:00,7000,4434
2025-09-21 06:01:00-05:00,7000,4494
2025-09-21 07:01:00-05:00,7000,4494
2025-09-21 08:01:00-05:00,7000,4494
2025-09-21 09:01:00-05:00,7000,4494
2025-09-21 10:01:00-05:00,7000,4494
2025-09-21 11:01:00-05:00,7000,4499
2025-09-21 12:01:00-05:00,7000,4499
2025-09-21 13:01:00-05:00,7000,4499
2025-09-21 14:01:00-05:00,7000,4504
2025-09-21 15:01:00-05:00,7000,4509
2025-09-21 16:01:00-05:00,7000,4514
2025-09-21 17:01:00-05:00,7000,4514
2025-09-21 18:01:00-05:00,7000,4514
2025-09-21 19:01:00-05:00,7000,4514
2025-09-21 20:01:00-05:00,7000,4514
2025-09-21 21:01:00-05:00,7000,4514
2025-09-21 22:01:00-05:00,7000,4519
2025-09-21 23:01:00-05:00,7000,4519
2025-09-22 00:01:00-05:00,7000,4519
2025-09-22 01:01:00-05:00,7000,4524
2025-09-22 02:01:00-05:00,7000,4524
2025-09-22 03:01:00-05:00,7000,4524
2025-09-22 04:01:00-05:00,7000,4545
2025-09-22 05:01:00-05:00,7000,4559
2025-09-22 06:01:00-05:00,7000,4559
2025-09-22 07:01:00-05:00,7000,4559
2025-09-22 08:01:00-05:00,7000,4564
2025-09-22 09:01:00-05:00,7000,4564
2025-09-22 10:01:00-05:00,7000,4564
2025-09-22 11:01:00-05:00,7000,4564
2025-09-22 12:01:00-05:00,7000,4564
2025-09-22 13:01:00-05:00,7000,4564
2025-09-22 14:01:00-05:00,7000,4569
2025-09-22 15:01:00-05:00,7000,4594
2025-09-22 16:01:00-05:00,7000,4649
2025-09-22 17:01:00-05:00,7000,4651
2025-09-22 18:01:00-05:00,7000,4651
2025-09-22 19:01:00-05:00,7000,4651
2025-09-22 20:01:00-05:00,7000,4651
2025-09-22 21:01:00-05:00,7000,4651
2025-09-22 22:01:00-05:00,7000,4651
2025-09-22 23:01:00-05:00,7000,4651
2025-09-23 00:01:00-05:00,7000,4651
2025-09-23 01:01:00-05:00,7000,4651
2025-09-23 02:01:00-05:00,7000,4651
2025-09-23 03:01:00-05:00,7000,4651
2025-09-23 04:01:00-05:00,7000,4672
2025-09-23 05:01:00-05:00,7000,4675
2025-09-23 06:01:00-05:00,7000,4675
2025-09-23 07:01:00-05:00,7000,4675
2025-09-23 08:01:00-05:00,7000,4675
2025-09-23 09:01:00-05:00,7000,4675
2025-09-23 10:01:00-05:00,7000,4675
2025-09-23 11:01:00-05:00,7000,4675
2025-09-23 12:01:00-05:00,7000,4680
2025-09-23 13:01:00-05:00,7000,4680
2025-09-23 14:01:00-05:00,7000,4680
2025-09-23 15:01:00-05:00,7000,4680
2025-09-23 16:01:00-05:00,7000,4680
2025-09-23 17:01:00-05:00,7000,4680
2025-09-23 18:01:00-05:00,7000,4680
2025-09-23 19:01:00-05:00,7000,4680
2025-09-23 20:01:00-05:00,7000,4680
2025-09-23 21:01:00-05:00,7000,4685
2025-09-23 22:01:00-05:00,7000,4685
2025-09-23 23:01:00-05:00,7000,4685
2025-09-24 00:01:00-05:00,7000,4685
2025-09-24 01:01:00-05:00,7000,4685
2025-09-24 02:01:00-05:00,7000,4685
2025-09-24 03:01:00-05:00,7000,4685
2025-09-24 04:01:00-05:00,7000,4756
2025-09-24 05:01:00-05:00,7000,4770
2025-09-24 06:01:00-05:00,7000,4770
2025-09-24 07:01:00-05:00,7000,4770
2025-09-24 08:01:00-05:00,7000,4845
2025-09-24 09:01:00-05:00,7000,4845
2025-09-24 10:01:00-05:00,7000,4850
2025-09-24 11:01:00-05:00,7000,4850
2025-09-24 12:01:00-05:00,7000,4850
2025-09-24 13:01:00-05:00,7000,4850
2025-09-24 14:01:00-05:00,7000,4850
2025-09-24 15:01:00-05:00,7000,4850
2025-09-24 16:01:00-05:00,7000,4855
2025-09-24 17:01:00-05:00,7000,4855
2025-09-24 18:01:00-05:00,7000,4855
2025-09-24 19:01:00-05:00,7000,4925
2025-09-24 20:01:00-05:00,7000,4930
2025-09-24 21:01:00-05:00,7000,4930
2025-09-24 22:01:00-05:00,7000,4930
2025-09-24 23:01:00-05:00,7000,4930
2025-09-25 00:01:00-05:00,7000,4935
2025-09-25 01:01:00-05:00,7000,4935
2025-09-25 02:01:00-05:00,7000,4935
2025-09-25 03:01:00-05:00,7000,4935
2025-09-25 04:01:00-05:00,7000,4966
2025-09-25 05:01:00-05:00,7000,5045
2025-09-25 06:01:00-05:00,7000,5045
2025-09-25 07:01:00-05:00,7000,5045
2025-09-25 08:01:00-05:00,7000,5045
2025-09-25 09:01:00-05:00,7000,5045
2025-09-25 10:01:00-05:00,7000,5045
2025-09-25 11:01:00-05:00,7000,5045
2025-09-25 12:01:00-05:00,7000,5045
2025-09-25 13:01:00-05:00,7000,5045
2025-09-25 14:01:00-05:00,7000,5045
2025-09-25 15:01:00-05:00,7000,5045
2025-09-25 16:01:00-05:00,7000,5045
2025-09-25 17:01:00-05:00,7000,5045
2025-09-25 18:01:00-05:00,7000,5045
2025-09-25 19:01:00-05:00,7000,5045
2025-09-25 20:01:00-05:00,7000,5050
2025-09-25 21:01:00-05:00,7000,5050
2025-09-25 22:01:00-05:00,7000,5060
2025-09-25 23:01:00-05:00,7000,5070
2025-09-26 00:01:00-05:00,7000,5070
2025-09-26 01:01:00-05:00,7000,5070
2025-09-26 02:01:00-05:00,7000,5070
2025-09-26 03:01:00-05:00,7000,5070
2025-09-26 04:01:00-05:00,7000,5134
2025-09-26 05:01:00-05:00,7000,5169
2025-09-26 06:01:00-05:00,7000,5169
2025-09-26 07:01:00-05:00,7000,5169
2025-09-26 08:01:00-05:00,7000,5171
2025-09-26 09:01:00-05:00,7000,5202
2025-09-26 10:01:00-05:00,7000,5202
2025-09-26 11:01:00-05:00,7000,5212
2025-09-26 12:01:00-05:00,7000,5212
2025-09-26 13:01:00-05:00,7000,5212
2025-09-26 14:01:00-05:00,7000,5212
2025-09-26 15:01:00-05:00,7000,5217
